03272012 135000	0.00		563.15	5.93	694.42	2.95	0.811	0.811	0
03272012 145000	1.00		564.48	5.71	688.33	3.12	0.8201	0.8201	1.02E-09
03272012 155000	2.00		564.34	4.99	687.88	2.88	0.8204	0.8204	2.04E-09
03272012 165000	3.00		564.8	5.05	687.78	2.94	0.8212	0.8212	3.05E-09
03272012 175000	4.00		564.92	5.61	687.56	2.79	0.8216	0.8216	4.07E-09
03272012 185000	5.00		565.07	5.27	687.49	2.54	0.8219	0.8219	5.09E-09
03272012 195000	6.00		565.87	5.45	687.56	2.57	0.823	0.823	6.11E-09
03272012 205000	7.00		566.14	6.34	687.39	2.63	0.8236	0.8236	7.13E-09
03272012 215000	8.00		566.34	5.93	687.47	2.62	0.8238	0.8238	8.14E-09
03272012 225000	9.00		566.42	5.27	687.46	2.72	0.8239	0.8239	9.16E-09
03272012 235000	10.00		566.3	5.82	687.46	2.71	0.8238	0.8238	1.02E-08
03282012 005000	11.00		566.17	5.44	687.51	2.61	0.8235	0.8235	1.12E-08
03282012 015000	12.00		566.16	5.84	687.35	2.9	0.8237	0.8237	1.22E-08
03282012 025000	13.00		566.41	5.51	687.54	2.83	0.8238	0.8238	1.32E-08
03282012 035000	14.00		566.23	6.6	687.58	2.86	0.8235	0.8235	1.43E-08
03282012 045000	15.00		566.1	6.06	687.51	2.62	0.8234	0.8234	1.53E-08
03282012 055000	16.00		566.24	5.65	687.6	2.7	0.8235	0.8235	1.63E-08
03282012 065000	17.00		566.28	5.51	687.55	2.75	0.8236	0.8236	1.73E-08
03282012 075000	18.00		566.3	6.01	687.62	2.7	0.8236	0.8236	1.83E-08
03282012 085000	19.00		566.32	6.1	687.57	2.61	0.8237	0.8237	1.93E-08
03282012 095000	20.00		566.29	5.63	687.51	2.52	0.8237	0.8237	2.04E-08
03282012 105000	21.00		567.93	5.46	688.33	2.75	0.8251	0.8251	2.14E-08
03282012 115000	22.00		567.45	5.8	687.81	2.79	0.825	0.825	2.24E-08
03282012 125000	23.00		567.33	5.55	687.84	2.97	0.8248	0.8248	2.34E-08
03282012 135000	24.00		567.18	5.39	687.79	2.77	0.8246	0.8246	2.44E-08
03282012 145000	25.00		566.58	5.7	687.79	2.87	0.8238	0.8238	2.55E-08
03282012 155000	26.00		566.63	5.75	687.85	2.84	0.8238	0.8238	2.65E-08
03282012 165000	27.00		566.39	5.38	687.86	2.83	0.8234	0.8234	2.75E-08
03282012 175000	28.00		566.57	5.73	687.79	2.74	0.8238	0.8238	2.85E-08
03282012 185000	29.00		566	5.75	687.76	2.83	0.823	0.823	2.95E-08
03282012 195000	30.00		565.99	5.37	687.75	2.79	0.823	0.823	3.05E-08
03282012 205000	31.00		565.97	5.78	687.67	2.78	0.823	0.823	3.16E-08
03282012 215000	32.00		565.94	5.67	687.72	2.97	0.8229	0.8229	3.26E-08
03282012 225000	33.00		565.89	5.56	687.69	2.71	0.8229	0.8229	3.36E-08
03282012 235000	34.00		565.88	5.27	687.64	2.77	0.8229	0.8229	3.46E-08
03292012 005000	35.00		565.9	5.74	687.71	2.93	0.8229	0.8229	3.56E-08
03292012 015000	36.00		565.85	5.28	687.65	2.57	0.8229	0.8229	3.66E-08
03292012 025000	37.00		565.84	5.32	687.73	2.76	0.8228	0.8228	3.77E-08
03292012 035000	38.00		565.97	5.76	687.66	2.62	0.823	0.823	3.87E-08
03292012 045000	39.00		566.09	5.64	687.83	2.92	0.823	0.823	3.97E-08
03292012 055000	40.00		566.17	5.15	687.88	2.66	0.8231	0.8231	4.07E-08
03292012 065000	41.00		566.29	5.6	687.85	2.81	0.8233	0.8233	4.17E-08
03292012 075000	42.00		566.37	5.72	687.88	3	0.8234	0.8234	4.28E-08
03292012 085000	43.00		566.2	5.87	687.91	2.82	0.8231	0.8231	4.38E-08
03292012 095000	44.00		566.3	6.1	688.03	3.07	0.8231	0.8231	4.48E-08
03292012 105000	45.00		566.7	5.94	688.26	2.87	0.8234	0.8234	4.58E-08
03292012 115000	46.00		566.25	5.71	688.1	3	0.8229	0.8229	4.68E-08
03292012 125000	47.00		566.07	5.82	688.02	2.92	0.8228	0.8228	4.78E-08
03292012 135000	48.00		565.72	5.83	687.98	3.5	0.8223	0.8223	4.89E-08
